loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0.013659,0.010661,0.012195,0.012469,0.013506,0.00729,0.076923,0.023458,0.105462,0.000186,0.007421,0.000186,0.010977,0.011628,0.020134,0.018519,0.024331,0.025341,0.011624,0.016882,0.012121,true
0.012206,0.012793,0.012195,0.007481,0.011492,0.006104,0.061538,0.028694,0.072168,0.000191,0.005937,0.000191,0.010977,0.014535,0.006711,0,0.029197,0.021442,0.009779,0.014565,0.014545,true
0.027608,0,0,0,0.055444,0.034991,0.038462,0.044835,0.264786,0.001707,0.034879,0.001707,0.024079,0.034884,0.03132,0,0.024331,0.054581,0.047601,0.069513,0,true
0.001744,0,0,0,0.002962,0.001027,0.192308,0.009565,0.036435,0.000011,0.001113,0.000011,0.001416,0,0,0,0.009732,0.005848,0.002399,0.003972,0,false
0.006684,0.004264,0,0.004988,0.006871,0.003332,0.107692,0.01681,0.067236,0.000061,0.00334,0.000061,0.00602,0,0.004474,0.027778,0.021898,0.015595,0.006089,0.008275,0.004848,false
0.007847,0.014925,0.036585,0,0.01777,0.009807,0.030769,0.060402,0.055074,0.000644,0.009647,0.000644,0.008144,0,0.006711,0,0.048662,0.018519,0.018819,0.015889,0.01697,true
0.002034,0.002132,0,0,0.001777,0.000665,0.223077,0.008369,0.026958,0.000006,0.000742,0.000006,0.002125,0,0,0,0.017032,0.004873,0.001845,0.001655,0.002424,false
0.006684,0.006397,0.012195,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007273,false
0.010753,0.014925,0.012195,0.007481,0.013506,0.0074,0.053846,0.033046,0.075994,0.000266,0.007421,0.000266,0.010269,0.005814,0.011186,0,0.038929,0.021442,0.014022,0.012579,0.01697,true
0.007847,0.008529,0,0.007481,0.005687,0.002608,0.084615,0.021736,0.0407,0.000062,0.002597,0.000062,0.005312,0.017442,0.011186,0,0.024331,0.010721,0.005166,0.00662,0.009697,true
0.002034,0.002132,0,0.002494,0.004383,0.00201,0.1,0.018412,0.037049,0.00004,0.001855,0.00004,0.001771,0,0.002237,0,0.026764,0.009747,0.004244,0.004634,0.002424,false
0.003197,0.006397,0,0.002494,0.003673,0.001657,0.107692,0.016738,0.033592,0.00003,0.001484,0.00003,0.002833,0,0.004474,0,0.024331,0.009747,0.003137,0.004634,0.007273,false
0.022958,0.014925,0,0.014963,0.029143,0.018524,0.023077,0.081181,0.077416,0.001636,0.018553,0.001636,0.022309,0,0.022371,0,0.068127,0.038986,0.027491,0.032109,0.009697,false
0.111595,0.053305,0,0.057357,0.181614,0.141138,0.007692,0.243615,0.19655,0.037403,0.141002,0.037403,0.096317,0.072674,0.185682,0.027778,0.111922,0.124756,0.178229,0.187686,0.035152,true
0.006393,0.004264,0,0.004988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,true
0.001744,0.002132,0,0,0.002132,0.000824,0.138462,0.013462,0.02078,0.000012,0.000742,0.000012,0.001771,0,0,0,0.021898,0.003899,0.002399,0.001655,0.002424,false
0.005522,0.004264,0,0.002494,0.005687,0.002969,0.084615,0.021521,0.046808,0.000069,0.002968,0.000069,0.006374,0,0,0,0.038929,0.015595,0.005535,0.005958,0.003636,false
0.024702,0.004264,0.012195,0.004988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,false
0.001453,0,0,0,0.000474,0.000099,0.515385,0.003587,0.009354,0,0,0,0.000708,0,0.004474,0,0.007299,0.000975,0.000554,0.000331,0,false
0.012496,0,0,0,0.015283,0.008374,0.092308,0.020086,0.141441,0.000183,0.008534,0.000183,0.01204,0.002907,0.01566,0,0.019465,0.02924,0.012177,0.020854,0,false
0.001744,0,0,0,0.000711,0.000192,0.384615,0.004782,0.013602,0.000001,0.000371,0.000001,0.000708,0.002907,0,0,0.009732,0.001949,0.000738,0.000662,0,false
0.002906,0,0,0,0.003317,0.001385,0.092308,0.019919,0.023588,0.00003,0.001484,0.00003,0.002125,0,0.006711,0,0.024331,0.005848,0.003321,0.00331,0,true
0.049404,0.036247,0.091463,0.027431,0.055207,0.037603,0.023077,0.084888,0.150286,0.003472,0.037477,0.003472,0.041431,0.104651,0.035794,0.018519,0.055961,0.067251,0.046679,0.070506,0.041212,false
0.00494,0.002132,0,0.002494,0.00462,0.002049,0.138462,0.013032,0.053301,0.000029,0.002226,0.000029,0.005666,0,0,0,0.019465,0.010721,0.004428,0.004965,0.002424,true
0.020343,0.034115,0.073171,0.032419,0.022154,0.013433,0.030769,0.054472,0.083681,0.000796,0.013358,0.000796,0.019122,0,0.033557,0,0.048662,0.035088,0.019373,0.027143,0.038788,true
0.005522,0.004264,0,0.004988,0.004265,0.001925,0.115385,0.016069,0.04063,0.000034,0.001855,0.000034,0.004958,0,0.008949,0,0.026764,0.008772,0.004613,0.003641,0.004848,true
0.003778,0,0,0,0.00699,0.00343,0.092308,0.020182,0.057689,0.000075,0.00334,0.000075,0.003187,0,0.004474,0,0.024331,0.015595,0.005904,0.008937,0,false
0.002906,0.008529,0.02439,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009697,false
0.044754,0.021322,0.02439,0.009975,0.031631,0.019264,0.015385,0.098087,0.06664,0.002055,0.019295,0.002055,0.025142,0.171512,0.051454,0,0.060827,0.031189,0.029889,0.034757,0.024242,false
0.010171,0.012793,0,0.004988,0.009596,0.005054,0.046154,0.039383,0.043543,0.000217,0.005195,0.000217,0.009561,0.002907,0.011186,0.009259,0.038929,0.016569,0.008487,0.011586,0.014545,false
0.004359,0,0,0,0.002606,0.001063,0.230769,0.007963,0.045263,0.000009,0.001113,0.000009,0.001771,0.023256,0.002237,0,0.014599,0.008772,0.002214,0.00331,0,false
0.029061,0.040512,0.030488,0.029925,0.056865,0.03316,0.015385,0.153419,0.073327,0.005534,0.033024,0.005534,0.033994,0,0.006711,0,0.041363,0.030214,0.045387,0.077458,0.046061,false
0.076431,0.006397,0,0.007481,0.143466,0.10968,0.023077,0.071856,0.517831,0.008574,0.109833,0.008574,0.088881,0.002907,0.022371,0,0.036496,0.141326,0.116236,0.19232,0.007273,false
0.005231,0.006397,0,0.007481,0.006042,0.00293,0.092308,0.019727,0.050388,0.000063,0.002968,0.000063,0.005312,0,0.004474,0,0.026764,0.013645,0.005535,0.006951,0.007273,true
0.010753,0.017058,0.036585,0.01995,0.014335,0.008122,0.030769,0.053635,0.051371,0.000474,0.008163,0.000474,0.010977,0,0.008949,0,0.051095,0.021442,0.014022,0.015558,0.019394,false
0.006393,0.002132,0,0.002494,0.006634,0.003256,0.076923,0.023577,0.04686,0.000083,0.00334,0.000083,0.004958,0.008721,0.008949,0,0.029197,0.013645,0.006089,0.007613,0.002424,false
0.001453,0,0,0,0.002488,0.000823,0.123077,0.014945,0.018691,0.000013,0.000742,0.000013,0.001771,0.002907,0,0,0.012165,0.003899,0.00203,0.00331,0,false
0.002616,0.004264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,false
0.007847,0.008529,0.012195,0.004988,0.007937,0.004285,0.069231,0.02781,0.052266,0.00013,0.004453,0.00013,0.00602,0.005814,0.008949,0.027778,0.041363,0.018519,0.007565,0.008606,0.009697,false
0.023249,0.049041,0.103659,0.002494,0.027366,0.015505,0.015385,0.117743,0.044684,0.001986,0.015584,0.001986,0.027266,0,0.004474,0,0.053528,0.020468,0.025277,0.031116,0.055758,true
0.009009,0.008529,0,0.007481,0.011255,0.005524,0.046154,0.043042,0.043543,0.000259,0.005566,0.000259,0.008499,0.008721,0.006711,0,0.03163,0.012671,0.010886,0.011917,0.009697,true
0.040395,0,0,0,0.074754,0.052619,0.038462,0.046628,0.382867,0.002669,0.05269,0.002669,0.03966,0,0.058166,0,0.03163,0.091618,0.064391,0.093347,0,false
0.014531,0.029851,0.067073,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033939,false
0.000872,0,0,0,0.000829,0.000243,0.384615,0.004782,0.017252,0.000001,0.000371,0.000001,0.000708,0,0,0,0.009732,0.002924,0.000738,0.000993,0,false
0.016274,0.021322,0.04878,0.01995,0.017297,0.00986,0.038462,0.043663,0.076609,0.000468,0.010019,0.000468,0.016289,0,0.01566,0.018519,0.041363,0.026316,0.016236,0.019199,0.024242,false
0.002906,0.002132,0,0.002494,0.002962,0.001264,0.092308,0.020493,0.02092,0.000028,0.001113,0.000028,0.002479,0,0.004474,0,0.024331,0.006823,0.002399,0.003972,0.002424,false
0.003197,0.006397,0,0.002494,0.005331,0.002518,0.084615,0.020827,0.041033,0.000057,0.002597,0.000057,0.002833,0,0.004474,0,0.026764,0.011696,0.004797,0.006289,0.007273,true
0.000872,0,0,0,0.001066,0.000334,0.253846,0.007174,0.015796,0.000003,0.000371,0.000003,0.000708,0,0,0,0.014599,0.001949,0.001292,0.000662,0,false
0.002325,0.004264,0.012195,0.004988,0.004857,0.002228,0.1,0.01913,0.039506,0.000046,0.002226,0.000046,0.002479,0,0,0,0.029197,0.008772,0.005351,0.003972,0.004848,false
0.024121,0.023454,0,0.024938,0.018363,0.009988,0.038462,0.049737,0.068149,0.00054,0.010019,0.00054,0.023017,0.017442,0.020134,0.018519,0.036496,0.021442,0.017343,0.020192,0.026667,true
0.005231,0.002132,0,0.002494,0.003436,0.001524,0.1,0.018077,0.02859,0.00003,0.001484,0.00003,0.004603,0,0.006711,0,0.026764,0.007797,0.003321,0.003641,0.002424,false
0.000872,0,0,0,0.000829,0.000243,0.384615,0.004782,0.017252,0.000001,0.000371,0.000001,0.000708,0,0,0,0.009732,0.002924,0.000738,0.000993,0,false
0.00494,0,0,0,0.004502,0.001997,0.384615,0.004782,0.141651,0.00001,0.001855,0.00001,0.003541,0.002907,0.011186,0,0.009732,0.01462,0.004244,0.004965,0,false
0.006684,0,0,0,0.005331,0.002552,0.092308,0.02023,0.042788,0.000056,0.002597,0.000056,0.004249,0.023256,0.004474,0,0.026764,0.012671,0.004613,0.00662,0,false
0.002906,0,0,0,0.004265,0.001925,0.115385,0.015662,0.041718,0.000033,0.001855,0.000033,0.002479,0,0.004474,0,0.021898,0.010721,0.00369,0.005296,0,false
0.003487,0.002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.001744,0,0,0,0.005094,0.002218,0.084615,0.022429,0.033574,0.000054,0.002226,0.000054,0.001416,0,0.002237,0,0.024331,0.007797,0.005166,0.004965,0,false
0.020052,0.012793,0.018293,0.007481,0.025708,0.01491,0.023077,0.07384,0.068518,0.001197,0.014842,0.001197,0.019122,0.011628,0.01566,0.018519,0.046229,0.02729,0.023247,0.030122,0.014545,true
0.004359,0.002132,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.000872,0,0,0,0.000474,0.000099,0.515385,0.003587,0.009354,0,0,0,0.000708,0,0,0,0.007299,0.000975,0.000554,0.000331,0,false
0.002616,0,0,0,0.004976,0.002282,0.161538,0.011358,0.068167,0.000028,0.002226,0.000028,0.002479,0,0.002237,0,0.017032,0.013645,0.004244,0.006289,0,false
0.006684,0.006397,0,0.002494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007273,true
0.007265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.053473,0.061834,0,0.072319,0.064803,0.038381,0.015385,0.098159,0.132648,0.004099,0.038219,0.004099,0.052054,0,0.067114,0.009259,0.034063,0.036062,0.060886,0.071831,0.070303,false
0.039814,0.138593,0.378049,0.144638,0.085416,0.057461,0.015385,0.107269,0.181719,0.006706,0.057514,0.006706,0.04568,0.005814,0.011186,0,0.051095,0.064327,0.080996,0.093347,0.157576,false
0.001744,0,0,0,0.001777,0.000706,0.223077,0.008369,0.028643,0.000006,0.000742,0.000006,0.001416,0,0.002237,0,0.017032,0.006823,0.001476,0.002317,0,false
0.011915,0.014925,0,0.009975,0.01315,0.007627,0.053846,0.034075,0.075942,0.000283,0.007792,0.000283,0.01204,0,0.008949,0.018519,0.046229,0.02729,0.012731,0.013903,0.012121,true
0.015693,0.006397,0,0.004988,0.015164,0.008368,0.046154,0.038259,0.074204,0.000348,0.008534,0.000348,0.00779,0.034884,0.042506,0,0.03163,0.025341,0.011808,0.021185,0.007273,false
0.003778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.002906,0,0,0,0.004739,0.002206,0.115385,0.015949,0.046965,0.000038,0.002226,0.000038,0.001062,0.005814,0.008949,0,0.024331,0.011696,0.004428,0.005296,0,false
0.005522,0.008529,0.012195,0.004988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009697,false
0.006684,0.008529,0,0.007481,0.006871,0.003245,0.076923,0.023912,0.046053,0.000084,0.00334,0.000084,0.006728,0,0.006711,0,0.024331,0.012671,0.005904,0.008606,0.009697,false
0.000872,0,0,0,0.000592,0.000144,0.515385,0.003587,0.013584,0.000001,0,0.000001,0.000708,0,0,0,0.007299,0.001949,0.000554,0.000662,0,false
0.015984,0.010661,0.02439,0.002494,0.018244,0.010581,0.023077,0.079842,0.044965,0.000919,0.010761,0.000919,0.013456,0.014535,0.024609,0,0.058394,0.022417,0.016605,0.021185,0.012121,true
0.007556,0.004264,0,0,0.007345,0.003516,0.061538,0.028694,0.041577,0.00011,0.00334,0.00011,0.007436,0,0.006711,0,0.029197,0.011696,0.007011,0.007944,0.004848,false
0.003778,0.002132,0,0.002494,0.00308,0.001224,0.115385,0.015949,0.026063,0.000021,0.001113,0.000021,0.003541,0,0.004474,0,0.019465,0.005848,0.002952,0.00331,0.002424,false
0.012496,0.017058,0,0.014963,0.013269,0.007518,0.038462,0.050215,0.050792,0.000411,0.007421,0.000411,0.01204,0.002907,0.01566,0,0.051095,0.021442,0.012546,0.014565,0.019394,false
0.022668,0.027719,0,0.032419,0.029262,0.019147,0.023077,0.073266,0.088666,0.001526,0.019295,0.001526,0.020892,0.008721,0.017897,0.064815,0.072993,0.045809,0.02786,0.031778,0.020606,true
0.011915,0.014925,0.042683,0.009975,0.016823,0.009702,0.030769,0.05703,0.057724,0.000602,0.009647,0.000602,0.009207,0.008721,0.01566,0.037037,0.048662,0.025341,0.01476,0.020523,0.01697,false
0.016565,0.01919,0,0.007481,0.01161,0.006537,0.038462,0.047752,0.046439,0.00034,0.006679,0.00034,0.015227,0.020349,0.013423,0,0.055961,0.018519,0.011993,0.010924,0.019394,false
0.001162,0,0,0,0.001777,0.000642,0.261538,0.006982,0.031223,0.000005,0.000742,0.000005,0.001062,0,0,0,0.012165,0.005848,0.001476,0.002317,0,false
0.000872,0,0,0,0.001066,0.000334,0.384615,0.004782,0.023693,0.000002,0.000371,0.000002,0.000708,0,0,0,0.009732,0.003899,0.000923,0.001324,0,false
0.002325,0,0,0,0.004028,0.001818,0.292308,0.006385,0.096704,0.000013,0.001855,0.000013,0.001771,0,0.004474,0,0.012165,0.01462,0.003321,0.005296,0,false
0.018599,0.014925,0.042683,0.007481,0.02867,0.018094,0.023077,0.069703,0.088069,0.001372,0.018182,0.001372,0.018414,0,0.029083,0,0.055961,0.04191,0.024539,0.036081,0.01697,false
0.00465,0.004264,0,0.002494,0.002606,0.001089,0.130769,0.013845,0.026695,0.000016,0.001113,0.000016,0.003541,0.008721,0.004474,0,0.021898,0.006823,0.002399,0.002979,0.004848,false
0.001744,0,0,0,0.002606,0.001007,0.246154,0.007461,0.045719,0.000008,0.001113,0.000008,0.001771,0,0,0,0.012165,0.007797,0.002214,0.00331,0,false
0.024121,0.014925,0.036585,0.009975,0.028077,0.01646,0.023077,0.074438,0.075029,0.001333,0.016327,0.001333,0.023017,0.014535,0.024609,0,0.051095,0.02729,0.028782,0.027474,0.01697,false
0.001453,0,0,0,0.002606,0.001036,0.384615,0.004782,0.073502,0.000005,0.001113,0.000005,0.002125,0,0,0,0.009732,0.009747,0.002214,0.00331,0,false
0.003778,0.006397,0.012195,0.002494,0.004383,0.002125,0.084615,0.021306,0.033855,0.000049,0.002226,0.000049,0.003541,0,0.004474,0,0.034063,0.010721,0.004244,0.004634,0.007273,false
0.018018,0.010661,0.018293,0.007481,0.009359,0.005091,0.038462,0.046413,0.037207,0.000257,0.005195,0.000257,0.006728,0.069767,0.026846,0.055556,0.048662,0.016569,0.008487,0.010924,0.012121,true
0.025574,0.017058,0.012195,0.017456,0.031513,0.019023,0.023077,0.068771,0.093826,0.001423,0.018924,0.001423,0.024788,0.020349,0.020134,0,0.046229,0.035088,0.028967,0.036081,0.019394,false
0.001744,0,0,0,0.00308,0.001257,0.123077,0.015041,0.028362,0.000021,0.001113,0.000021,0.001771,0,0,0,0.019465,0.006823,0.002768,0.003641,0,false
0.005522,0.002132,0,0.002494,0.007582,0.003993,0.076923,0.022908,0.059146,0.0001,0.004082,0.000099,0.005312,0,0.006711,0,0.034063,0.018519,0.007011,0.008606,0.002424,false
0.004359,0.002132,0,0.002494,0.007819,0.003837,0.069231,0.027905,0.046667,0.000116,0.003711,0.000116,0.003895,0,0.006711,0,0.034063,0.011696,0.008487,0.00662,0.002424,false
0.00494,0.006397,0.018293,0.002494,0.004028,0.001787,0.092308,0.019727,0.030731,0.000038,0.001855,0.000038,0.002479,0.023256,0.002237,0,0.026764,0.007797,0.004059,0.003972,0.007273,false
0.000872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.018599,0.017058,0.042683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019394,true
